,sub,mask,lag,distance,run,data
0,sub-MSC05,dil3,-1002.4948893295165,3,6,scrubbed
0,sub-MSC05,nacc,1624.5591132982001,0,7,scrubbed
0,sub-MSC05,dil1,-530.9104138475096,1,7,scrubbed
0,sub-MSC05,dil2,-818.1580097760379,2,7,scrubbed
0,sub-MSC05,dil3,-555.5221069340073,3,7,scrubbed
0,sub-MSC06,nacc,108.36510724621729,0,0,scrubbed
0,sub-MSC06,dil1,20.607483517439572,1,0,scrubbed
0,sub-MSC06,dil2,-213.30309511697882,2,0,scrubbed
0,sub-MSC06,dil3,-363.91549502565044,3,0,scrubbed
0,sub-MSC06,nacc,-400.32555261584145,0,1,scrubbed
0,sub-MSC06,dil1,-192.4186246317312,1,1,scrubbed
0,sub-MSC06,dil2,-467.9762074798145,2,1,scrubbed
0,sub-MSC06,dil3,-543.5520794360513,3,1,scrubbed
0,sub-MSC06,nacc,307.215890213152,0,2,scrubbed
0,sub-MSC06,dil1,159.81906159313124,1,2,scrubbed
0,sub-MSC06,dil2,-211.97655900073303,2,2,scrubbed
0,sub-MSC06,dil3,-569.1673260050482,3,2,scrubbed
0,sub-MSC06,nacc,-633.3180689668357,0,3,scrubbed
0,sub-MSC06,dil1,-109.6113597198689,1,3,scrubbed
0,sub-MSC06,dil2,-84.4490271080452,2,3,scrubbed
0,sub-MSC06,dil3,-540.227217071364,3,3,scrubbed
0,sub-MSC06,nacc,728.7130067962923,0,4,scrubbed
0,sub-MSC06,dil1,849.1758412626274,1,4,scrubbed
0,sub-MSC06,dil2,430.31343756014735,2,4,scrubbed
0,sub-MSC06,dil3,-453.6230134196275,3,4,scrubbed
0,sub-MSC06,nacc,-856.4235566105278,0,5,scrubbed
0,sub-MSC06,dil1,6.244629489638276,1,5,scrubbed
0,sub-MSC06,dil2,-130.75629511073075,2,5,scrubbed
0,sub-MSC06,dil3,-203.39379777442713,3,5,scrubbed
0,sub-MSC06,nacc,-824.8060078945099,0,6,scrubbed
0,sub-MSC06,dil1,-734.3842927320811,1,6,scrubbed
0,sub-MSC06,dil2,-506.970781176217,2,6,scrubbed
0,sub-MSC06,dil3,-242.76038739746892,3,6,scrubbed
0,sub-MSC06,nacc,1413.1078275526318,0,7,scrubbed
0,sub-MSC06,dil1,189.7524323138686,1,7,scrubbed
0,sub-MSC06,dil2,-360.46598043530895,2,7,scrubbed
0,sub-MSC06,dil3,-619.3918783135977,3,7,scrubbed
0,sub-MSC07,nacc,-44.17442402926891,0,0,scrubbed
0,sub-MSC07,dil1,-315.2020791830743,1,0,scrubbed
0,sub-MSC07,dil2,-611.6569299087075,2,0,scrubbed
0,sub-MSC07,dil3,-529.6402060281284,3,0,scrubbed
0,sub-MSC07,nacc,2692.3662445040477,0,1,scrubbed
0,sub-MSC07,dil1,1630.7878661016257,1,1,scrubbed
0,sub-MSC07,dil2,1111.560620895379,2,1,scrubbed
0,sub-MSC07,dil3,401.09409232852624,3,1,scrubbed
0,sub-MSC07,nacc,637.4588498748881,0,2,scrubbed
0,sub-MSC07,dil1,879.5129035408555,1,2,scrubbed
0,sub-MSC07,dil2,1077.080594560828,2,2,scrubbed
0,sub-MSC07,dil3,1476.4926013949555,3,2,scrubbed
0,sub-MSC07,nacc,1604.7896080555302,0,3,scrubbed
0,sub-MSC07,dil1,2773.797274571253,1,3,scrubbed
0,sub-MSC07,dil2,3645.2625409388734,2,3,scrubbed
0,sub-MSC07,dil3,4011.543051826843,3,3,scrubbed
0,sub-MSC07,nacc,234.76501731382575,0,4,scrubbed
0,sub-MSC07,dil1,-79.07817463506328,1,4,scrubbed
0,sub-MSC07,dil2,-51.53108840328921,2,4,scrubbed
0,sub-MSC07,dil3,22.292211381718495,3,4,scrubbed
0,sub-MSC07,nacc,1347.5051596889589,0,5,scrubbed
0,sub-MSC07,dil1,1299.9019530595558,1,5,scrubbed
0,sub-MSC07,dil2,1325.5836909419786,2,5,scrubbed
0,sub-MSC07,dil3,1179.9984499582795,3,5,scrubbed
0,sub-MSC07,nacc,-102.39861114139683,0,6,scrubbed
0,sub-MSC07,dil1,-197.12884265963183,1,6,scrubbed
0,sub-MSC07,dil2,-281.15940826278785,2,6,scrubbed
0,sub-MSC07,dil3,-466.0114017674184,3,6,scrubbed
0,sub-MSC07,nacc,778.0457530795364,0,7,scrubbed
0,sub-MSC07,dil1,576.9642024167206,1,7,scrubbed
0,sub-MSC07,dil2,64.6518904827997,2,7,scrubbed
0,sub-MSC07,dil3,-198.94866948283686,3,7,scrubbed
0,sub-MSC07,nacc,930.2983458463965,0,8,scrubbed
0,sub-MSC07,dil1,161.2125799551255,1,8,scrubbed
0,sub-MSC07,dil2,-657.0432099281765,2,8,scrubbed
0,sub-MSC07,dil3,-687.7737534754496,3,8,scrubbed
0,sub-MSC08,nacc,51.08245416963894,0,0,scrubbed
0,sub-MSC08,dil1,246.56002180828335,1,0,scrubbed
0,sub-MSC08,dil2,229.85133972353756,2,0,scrubbed
0,sub-MSC08,dil3,237.88587508127316,3,0,scrubbed
0,sub-MSC08,nacc,-94.09576903220618,0,1,scrubbed
0,sub-MSC08,dil1,461.86494703102375,1,1,scrubbed
0,sub-MSC08,dil2,1012.1580074576095,2,1,scrubbed
0,sub-MSC08,dil3,1159.1083583356653,3,1,scrubbed
0,sub-MSC08,nacc,508.4242352899806,0,2,scrubbed
0,sub-MSC08,dil1,332.95094884221965,1,2,scrubbed
0,sub-MSC08,dil2,99.88376754857819,2,2,scrubbed
0,sub-MSC08,dil3,141.177943819571,3,2,scrubbed
0,sub-MSC08,nacc,208.85754459552163,0,3,scrubbed
