,x,y,z,prefs
292,12,144,72,0.10166165410288852
293,12,144,75,0.5713696399223385
294,12,144,78,0.7689502741847161
295,12,144,81,0.6275926774153255
296,12,144,84,0.5832414473935388
297,12,144,87,0.6123523701153357
298,12,144,90,0.3852268376464343
299,12,144,93,0.3129156363056722
300,12,147,69,-0.2876396565210245
301,12,147,72,0.16636643490883452
302,12,147,75,-0.055530470550151256
303,12,147,78,0.4792587689881598
304,12,147,81,0.43430830105455986
305,12,147,84,0.533009940175931
306,12,147,87,0.5251153476514278
307,12,147,90,0.3458046580728252
308,12,150,69,-0.46644772373169296
309,12,150,72,-0.1669785307689609
310,12,150,75,0.03310840011916416
311,12,150,78,0.3747678506076363
312,12,150,81,0.5270923930607713
313,12,150,84,0.4984097741672183
314,12,150,87,0.3774172865522453
315,12,153,72,-0.27060998431714045
316,12,153,75,-0.136503297395753
317,12,153,78,0.3789932393082749
318,12,153,81,0.49934158050863175
319,9,135,87,-0.5532062048958919
320,9,135,90,-0.7820718279971622
321,9,135,93,-0.018042069438188035
322,9,138,66,-0.3226211235366217
323,9,138,69,-0.3440092887726083
324,9,138,72,-0.2927489923059746
325,9,138,75,0.14510930861915294
326,9,138,81,0.8254303187359261
327,9,138,84,0.6725397370965599
328,9,138,87,0.5079923891529237
329,9,138,90,0.3623833301348599
330,9,138,93,0.0516775240655431
331,9,141,66,-0.5925984886291625
332,9,141,69,-0.4090799615957503
333,9,141,72,-0.24087420015938832
334,9,141,75,0.2384492787904352
335,9,141,78,0.7769993055086446
336,9,141,81,0.7835566536109635
337,9,141,84,0.506848551766949
338,9,141,87,0.26733294029616816
339,9,141,90,0.12179003457680915
340,9,141,93,-0.16239719904439415
341,9,144,66,-0.5721213517539895
342,9,144,69,-0.37111062260113287
343,9,144,72,0.07089809884019083
344,9,144,75,-0.17762629285993814
345,9,144,78,0.786678341566441
346,9,144,81,0.6371093302446686
347,9,144,84,0.41573806524192886
348,9,144,87,0.32161539705290504
349,9,144,90,-0.06467086552019241
350,9,147,69,-0.4279671218516959
351,9,147,72,-0.4269208722514149
352,9,147,75,0.03704643813171482
353,9,147,78,0.5097710645981502
354,9,147,81,0.4818879588068431
355,9,147,84,0.5236515484653897
356,9,147,87,0.253329801514311
357,9,150,72,-0.26217987863057257
358,9,150,75,-0.07186267985246886
359,9,150,78,0.4423187647672544
360,9,150,81,0.5164677637605554
361,9,150,84,0.45856516274641157
362,9,153,75,0.15266993947864593
363,6,138,69,-0.452079381306411
364,6,138,72,-0.42271560731257013
365,6,138,75,0.41171826333695916
366,6,141,69,-0.6054018436004286
367,6,141,72,-0.5252207637875974
368,6,141,75,0.11160540341969605
369,6,141,78,0.6735579424594265
370,6,144,69,-0.47130186834823223
371,6,144,72,-0.3965161992158279
372,6,144,75,0.05144148170860974
373,6,144,78,0.754445762556953
374,6,144,81,0.5545838713980509
375,6,144,84,0.28402846044612534
376,6,147,72,-0.33051255829305287
377,6,147,75,-0.20859024228572787
378,6,147,78,0.45441209210656663
379,3,138,72,-0.11393941016139908
380,6,138,69,0.0739262177982452
381,6,138,72,0.27033859838367974
382,6,138,75,0.7118474710914088
383,6,141,69,0.011080386661335553
384,6,141,72,0.20406796085680043
385,6,141,75,0.6965145937404883
386,6,144,72,0.3571881126247013
387,6,144,75,0.7161153209191788
388,6,144,78,0.8302530446783725
389,6,144,81,0.3064466121207968
390,6,147,72,0.31529447532954136
391,6,147,75,0.7572524391563404
392,6,147,78,0.8514400137582322
393,6,147,81,0.5505126522253944
394,9,138,66,0.1085728776057226
395,9,138,69,0.27037861102413546
396,9,138,72,0.3147455326380746
397,9,138,75,0.7797739507404191
398,9,138,84,-0.43690834236560894
399,9,138,87,-0.7271565373941294
400,9,138,90,-0.6397699733565296
401,9,141,66,0.28284010287496036
402,9,141,69,0.31496861731456205
403,9,141,72,0.4137649471947125
404,9,141,75,0.7766908955038686
405,9,141,78,0.637100509153015
